idx	arm	started_utc	wall_s	rc	decode_s_per_token	prefill_s_per_token	passed	max_abs_diff	golden_hash	worker_sha256
1	T0	2026-08-10T12:53:24Z	157	0	0.0130500751953125	0.00112503084375	True	0	b9509697c08a2cf3	94dac17102c704f3c5d52c970a72e6b09ae9d62c2f3f55936254f4c2617b206d
2	T0P	2026-08-10T12:56:01Z	156	0	0.01290059375	0.001127919841796875	True	0	b9509697c08a2cf3	7310815f5e31306c8298f45688f2e12748b65498c9638b29b26e77a3d1ea64af
3	T0P	2026-08-10T12:58:37Z	150	0	0.012972932296875	0.0011228818359375	True	0	b9509697c08a2cf3	7310815f5e31306c8298f45688f2e12748b65498c9638b29b26e77a3d1ea64af
4	T0	2026-08-10T13:01:07Z	157	0	0.0129841663359375	0.001111245931640625	True	0	b9509697c08a2cf3	7e9ef2bfe52ae2d52882b27b24ceed543cf76b3daeaef0c50a2e13cf3f02e52f
5	T0P	2026-08-10T13:03:44Z	155	0	0.013027336265625	0.001123171548828125	True	0	b9509697c08a2cf3	df3f0b2e2fa9ce8d6fd515bc904017b9b0a0a7376b71f823b0e96082e7c61d4f
6	T0	2026-08-10T13:06:19Z	158	0	0.012951533859375	0.001111217693359375	True	0	b9509697c08a2cf3	462fabbf88180ef163a822f03bca0237fef8b987759ad398ac7cc9349b1a79e0
7	T0	2026-08-10T13:08:57Z	154	0	0.013011654296875	0.001123345783203125	True	0	b9509697c08a2cf3	462fabbf88180ef163a822f03bca0237fef8b987759ad398ac7cc9349b1a79e0
8	T0P	2026-08-10T13:11:31Z	159	0	0.013020177734375	0.00112264208984375	True	0	b9509697c08a2cf3	47aac7588c9ef8b0ff95fe74934b740a6956c0ac273d907be565a3984b795613
9	T0	2026-08-10T13:14:10Z	160	0	0.01292879459375	0.00112871101953125	True	0	b9509697c08a2cf3	3bba70d5234d6e8a838a9b799345df21656c86174cfea903564d9484c1678946
10	T0P	2026-08-10T13:16:50Z	159	0	0.0129389850234375	0.0011243238125	True	0	b9509697c08a2cf3	6aa7cbeedc8fdbe8eb02a54743277dc4689bf6aaa6ff21f6b4a0e36e4e49bfcf
11	T0P	2026-08-10T13:19:29Z	154	0	0.01303469596875	0.0011218173828125	True	0	b9509697c08a2cf3	6aa7cbeedc8fdbe8eb02a54743277dc4689bf6aaa6ff21f6b4a0e36e4e49bfcf
12	T0	2026-08-10T13:22:03Z	158	0	0.0129097229765625	0.0010984217109375	True	0	b9509697c08a2cf3	02b171eb58747f4967e53ebdcab3033c91c990e75ba3a09643c49a0b3e3e637c
13	T0P	2026-08-10T13:24:42Z	158	0	0.012900245765625	0.001123699625	True	0	b9509697c08a2cf3	0780d5af8dbd006bda77ca753796b0a264f7ba6b2267a738626078cf798ef69c
